##Data:X Data:Y Source:X Source:Y
742 11.78304 381.1938 177.5
743 11.78304 381.6969 177.5
744 11.53367 382.2 175.5
745 11.53367 382.7031 175.5
746 11.28429 383.2063 173.5
747 11.28429 383.7094 173.5
748 11.28429 384.2125 173.5
749 11.28429 384.7156 173.5
750 11.1596 385.2188 172.5
751 11.1596 385.7219 172.5
752 10.97257 386.225 171
753 10.97257 386.7281 171
754 10.91022 387.2313 170.5
755 10.91022 387.7344 170.5
756 10.78554 388.2375 169.5
757 10.78554 388.7406 169.5
758 10.53616 389.2437 167.5
759 10.53616 389.7469 167.5
760 10.28678 390.25 165.5
761 10.28678 390.7531 165.5
762 10.1621 391.2563 164.5
763 10.1621 391.7594 164.5
764 10.1621 392.2625 164.5
765 10.1621 392.7656 164.5
766 9.975062 393.2688 163
767 9.975062 393.7719 163
768 9.912718 394.275 162.5
769 9.912718 394.7781 162.5
770 9.78803 395.2813 161.5
771 9.78803 395.7844 161.5
772 9.538653 396.2875 159.5
773 9.538653 396.7906 159.5
774 9.413965 397.2938 158.5
775 9.413965 397.7969 158.5
776 9.413965 398.3 158.5
777 9.413965 398.8031 158.5
778 9.289277 399.3062 157.5
779 9.289277 399.8094 157.5
780 8.915212 400.3125 154.5
781 8.915212 400.8156 154.5
782 8.915212 401.3188 154.5
783 8.915212 401.8219 154.5
784 8.790524 402.325 153.5
785 8.790524 402.8281 153.5
786 8.790524 403.3313 153.5
787 8.790524 403.8344 153.5
788 8.416459 404.3375 150.5
789 8.416459 404.8406 150.5
790 8.416459 405.3438 150.5
791 8.416459 405.8469 150.5
792 8.291771 406.35 149.5
793 8.291771 406.8531 149.5
794 8.291771 407.3563 149.5
795 8.291771 407.8594 149.5
796 8.167082 408.3625 148.5
797 8.167082 408.8656 148.5
798 8.042394 409.3687 147.5
799 8.042394 409.8719 147.5
800 7.917706 410.375 146.5
801 7.917706 410.8781 146.5
802 7.793017 411.3813 145.5
803 7.793017 411.8844 145.5
804 7.668329 412.3875 144.5
805 7.668329 412.8906 144.5
806 7.543641 413.3938 143.5
807 7.543641 413.8969 143.5
808 7.481297 414.4 143
809 7.481297 414.9031 143
810 7.418952 415.4063 142.5
811 7.418952 415.9094 142.5
812 7.294264 416.4125 141.5
813 7.294264 416.9156 141.5
814 7.044888 417.4188 139.5
815 7.044888 417.9219 139.5
816 7.044888 418.425 139.5
817 7.044888 418.9281 139.5
818 6.920199 419.4312 138.5
819 6.920199 419.9344 138.5
820 6.795511 420.4375 137.5
821 6.795511 420.9406 137.5
822 6.670823 421.4438 136.5
823 6.670823 421.9469 136.5
824 6.670823 422.45 136.5
825 6.670823 422.9531 136.5
826 6.546134 423.4563 135.5
827 6.546134 423.9594 135.5
828 6.421446 424.4625 134.5
829 6.421446 424.9656 134.5
830 6.421446 425.4688 134.5
831 6.421446 425.9719 134.5
832 6.296758 426.475 133.5
833 6.296758 426.9781 133.5
834 5.798005 427.4813 129.5
835 5.798005 427.9844 129.5
836 5.798005 428.4875 129.5
837 5.798005 428.9906 129.5
838 5.798005 429.4937 129.5
839 5.798005 429.9969 129.5
840 5.922693 430.5 130.5
841 5.922693 431.0031 130.5
842 5.922693 431.5063 130.5
843 5.299252 432.0094 125.5
844 5.299252 432.5125 125.5
845 5.299252 433.0156 125.5
846 5.299252 433.5188 125.5
847 5.42394 434.0219 126.5
848 5.42394 434.525 126.5
849 5.299252 435.0281 125.5
850 5.299252 435.5313 125.5
851 5.299252 436.0344 125.5
852 5.299252 436.5375 125.5
853 5.174563 437.0406 124.5
854 5.174563 437.5438 124.5
855 5.049875 438.0469 123.5
856 5.049875 438.55 123.5
857 4.987531 439.0531 123
858 4.987531 439.5562 123
859 4.925187 440.0594 122.5
860 4.925187 440.5625 122.5
861 4.800499 441.0656 121.5
862 4.800499 441.5688 121.5
863 4.800499 442.0719 121.5
864 4.800499 442.575 121.5
865 4.67581 443.0781 120.5
866 4.67581 443.5813 120.5
867 4.551122 444.0844 119.5
868 4.551122 444.5875 119.5
869 4.488778 445.0906 119
870 4.488778 445.5938 119
871 4.301745 446.0969 117.5
872 4.301745 446.6 117.5
873 4.301745 447.1031 117.5
874 4.301745 447.6063 117.5
875 4.177057 448.1094 116.5
876 4.177057 448.6125 116.5
877 4.052369 449.1156 115.5
878 4.052369 449.6187 115.5
879 4.052369 450.1219 115.5
880 4.052369 450.625 115.5
881 3.927681 451.1281 114.5
882 3.927681 451.6313 114.5
883 3.802993 452.1344 113.5
884 3.802993 452.6375 113.5
885 3.802993 453.1406 113.5
886 3.802993 453.6438 113.5
887 3.678304 454.1469 112.5
888 3.678304 454.65 112.5
889 3.553616 455.1531 111.5
890 3.553616 455.6563 111.5
891 3.553616 456.1594 111.5
892 3.553616 456.6625 111.5
893 3.30424 457.1656 109.5
894 3.30424 457.6688 109.5
